                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    123,                0.63358,                0.36159,                 1.1432,                0.94191,                0.92325,                0.95671,                0.72606,                0.84796,                0.38415,                 1.2414,                0.00406,                0.00406,                0.00406
                    124,                0.65231,                 0.3792,                  1.153,                0.94424,                0.92058,                0.95601,                0.72541,                0.84854,                0.38473,                 1.2412,               0.003961,               0.003961,               0.003961
                    125,                0.64375,                0.36825,                 1.1459,                0.94506,                0.91941,                0.95584,                0.72591,                0.84896,                0.38349,                 1.2408,              0.0039115,              0.0039115,              0.0039115
                    126,                0.64061,                0.36862,                 1.1458,                0.94636,                0.91889,                0.95573,                0.72485,                0.84908,                0.38325,                 1.2404,               0.003862,               0.003862,               0.003862
                    127,                0.64554,                0.37502,                 1.1565,                0.94664,                0.92005,                0.95663,                0.72496,                 0.8493,                0.38291,                 1.2402,              0.0038125,              0.0038125,              0.0038125
                    128,                0.63942,                0.37438,                 1.1516,                0.94572,                0.92051,                0.95622,                0.72545,                0.84974,                0.38379,                  1.241,               0.003763,               0.003763,               0.003763
                    129,                0.65863,                0.37971,                 1.1549,                0.94739,                0.92144,                0.95677,                 0.7254,                0.85001,                0.38428,                 1.2408,              0.0037135,              0.0037135,              0.0037135
                    130,                0.63627,                0.36534,                 1.1398,                0.95113,                0.91575,                0.95667,                 0.7248,                0.85015,                0.38287,                 1.2412,               0.003664,               0.003664,               0.003664
                    131,                0.63665,                0.36365,                 1.1444,                0.95158,                0.91572,                0.95673,                0.72388,                0.85015,                0.38245,                  1.241,              0.0036145,              0.0036145,              0.0036145
                    132,                0.63609,                 0.3639,                 1.1423,                0.95179,                0.91594,                 0.9563,                0.72403,                0.85069,                0.38169,                 1.2415,               0.003565,               0.003565,               0.003565
                    133,                0.63823,                0.36928,                 1.1399,                0.95167,                0.91761,                 0.9563,                0.72422,                0.85003,                0.38153,                 1.2412,              0.0035155,              0.0035155,              0.0035155
                    134,                0.62956,                0.36467,                 1.1314,                 0.9517,                0.91806,                0.95624,                0.72427,                0.84961,                0.38177,                 1.2413,               0.003466,               0.003466,               0.003466
                    135,                0.62608,                0.36082,                 1.1399,                0.95273,                0.91731,                0.95622,                0.72483,                0.84936,                0.38109,                  1.242,              0.0034165,              0.0034165,              0.0034165
                    136,                0.62678,                 0.3616,                 1.1425,                0.95299,                0.91777,                0.95627,                0.72564,                0.84895,                0.38055,                 1.2421,               0.003367,               0.003367,               0.003367
